Game,MyAgent,Victory,result
000,VILLAGER,VILLAGER,1
001,BODYGUARD,WEREWOLF,0
002,WEREWOLF,VILLAGER,0
003,VILLAGER,WEREWOLF,0
004,SEER,WEREWOLF,0
005,SEER,VILLAGER,1
006,VILLAGER,VILLAGER,1
007,WEREWOLF,WEREWOLF,1
008,BODYGUARD,VILLAGER,1
009,VILLAGER,VILLAGER,1
010,WEREWOLF,VILLAGER,0
011,VILLAGER,WEREWOLF,0
012,WEREWOLF,VILLAGER,0
013,WEREWOLF,WEREWOLF,1
014,VILLAGER,WEREWOLF,0
015,POSSESSED,VILLAGER,0
016,POSSESSED,WEREWOLF,1
017,WEREWOLF,VILLAGER,0
018,VILLAGER,WEREWOLF,0
019,VILLAGER,WEREWOLF,0
020,SEER,VILLAGER,1
021,MEDIUM,VILLAGER,1
022,VILLAGER,WEREWOLF,0
023,VILLAGER,VILLAGER,1
024,VILLAGER,WEREWOLF,0
025,SEER,VILLAGER,1
026,WEREWOLF,WEREWOLF,1
027,VILLAGER,VILLAGER,1
028,VILLAGER,VILLAGER,1
029,VILLAGER,WEREWOLF,0
030,VILLAGER,VILLAGER,1
031,VILLAGER,VILLAGER,1
032,VILLAGER,WEREWOLF,0
033,MEDIUM,VILLAGER,1
034,VILLAGER,VILLAGER,1
035,VILLAGER,VILLAGER,1
036,WEREWOLF,WEREWOLF,1
037,WEREWOLF,VILLAGER,0
038,VILLAGER,WEREWOLF,0
039,VILLAGER,WEREWOLF,0
040,VILLAGER,WEREWOLF,0
041,VILLAGER,VILLAGER,1
042,VILLAGER,VILLAGER,1
043,VILLAGER,VILLAGER,1
044,POSSESSED,VILLAGER,0
045,VILLAGER,VILLAGER,1
046,VILLAGER,VILLAGER,1
047,VILLAGER,WEREWOLF,0
048,POSSESSED,VILLAGER,0
049,VILLAGER,VILLAGER,1
050,SEER,VILLAGER,1
051,WEREWOLF,VILLAGER,0
052,VILLAGER,VILLAGER,1
053,VILLAGER,VILLAGER,1
054,VILLAGER,WEREWOLF,0
055,MEDIUM,VILLAGER,1
056,WEREWOLF,WEREWOLF,1
057,BODYGUARD,WEREWOLF,0
058,BODYGUARD,VILLAGER,1
059,POSSESSED,WEREWOLF,1
060,VILLAGER,VILLAGER,1
061,VILLAGER,VILLAGER,1
062,BODYGUARD,WEREWOLF,0
063,VILLAGER,VILLAGER,1
064,WEREWOLF,VILLAGER,0
065,VILLAGER,WEREWOLF,0
066,POSSESSED,WEREWOLF,1
067,VILLAGER,WEREWOLF,0
068,WEREWOLF,VILLAGER,0
069,VILLAGER,WEREWOLF,0
070,WEREWOLF,VILLAGER,0
071,VILLAGER,VILLAGER,1
072,VILLAGER,WEREWOLF,0
073,WEREWOLF,WEREWOLF,1
074,VILLAGER,VILLAGER,1
075,VILLAGER,WEREWOLF,0
076,VILLAGER,VILLAGER,1
077,VILLAGER,VILLAGER,1
078,WEREWOLF,VILLAGER,0
079,POSSESSED,VILLAGER,0
080,VILLAGER,WEREWOLF,0
081,BODYGUARD,VILLAGER,1
082,VILLAGER,WEREWOLF,0
083,VILLAGER,WEREWOLF,0
084,WEREWOLF,WEREWOLF,1
085,POSSESSED,VILLAGER,0
086,POSSESSED,VILLAGER,0
087,VILLAGER,WEREWOLF,0
088,WEREWOLF,VILLAGER,0
089,VILLAGER,VILLAGER,1
090,WEREWOLF,VILLAGER,0
091,WEREWOLF,VILLAGER,0
092,BODYGUARD,WEREWOLF,0
093,WEREWOLF,VILLAGER,0
094,SEER,WEREWOLF,0
095,VILLAGER,WEREWOLF,0
096,VILLAGER,VILLAGER,1
097,MEDIUM,VILLAGER,1
098,VILLAGER,VILLAGER,1
099,WEREWOLF,WEREWOLF,1
VILLAGER,SEER,MEDIUM,BODYGUARD,POSSESSED,WEREWOLF
52,6,4,7,22,9
28,4,4,3,8,3
VILLAGER,WEREWOLF
39,11
