Game,MyAgent,Victory,result
000,SEER,VILLAGER,1
001,VILLAGER,WEREWOLF,0
002,VILLAGER,VILLAGER,1
003,VILLAGER,WEREWOLF,0
004,WEREWOLF,WEREWOLF,1
005,SEER,VILLAGER,1
006,POSSESSED,VILLAGER,0
007,VILLAGER,VILLAGER,1
008,WEREWOLF,VILLAGER,0
009,VILLAGER,WEREWOLF,0
010,VILLAGER,VILLAGER,1
011,VILLAGER,VILLAGER,1
012,VILLAGER,VILLAGER,1
013,VILLAGER,VILLAGER,1
014,SEER,VILLAGER,1
015,VILLAGER,VILLAGER,1
016,SEER,WEREWOLF,0
017,SEER,WEREWOLF,0
018,SEER,VILLAGER,1
019,POSSESSED,VILLAGER,0
020,POSSESSED,WEREWOLF,1
021,SEER,VILLAGER,1
022,WEREWOLF,WEREWOLF,1
023,VILLAGER,VILLAGER,1
024,WEREWOLF,VILLAGER,0
025,SEER,VILLAGER,1
026,POSSESSED,WEREWOLF,1
027,POSSESSED,VILLAGER,0
028,VILLAGER,VILLAGER,1
029,SEER,VILLAGER,1
030,VILLAGER,VILLAGER,1
031,WEREWOLF,WEREWOLF,1
032,VILLAGER,WEREWOLF,0
033,SEER,VILLAGER,1
034,POSSESSED,VILLAGER,0
035,VILLAGER,WEREWOLF,0
036,WEREWOLF,VILLAGER,0
037,WEREWOLF,VILLAGER,0
038,WEREWOLF,WEREWOLF,1
039,WEREWOLF,VILLAGER,0
040,VILLAGER,WEREWOLF,0
041,SEER,WEREWOLF,0
042,SEER,VILLAGER,1
043,VILLAGER,WEREWOLF,0
044,POSSESSED,WEREWOLF,1
045,VILLAGER,WEREWOLF,0
046,POSSESSED,VILLAGER,0
047,WEREWOLF,WEREWOLF,1
048,VILLAGER,VILLAGER,1
049,VILLAGER,VILLAGER,1
050,WEREWOLF,VILLAGER,0
051,VILLAGER,VILLAGER,1
052,SEER,WEREWOLF,0
053,POSSESSED,VILLAGER,0
054,WEREWOLF,VILLAGER,0
055,SEER,VILLAGER,1
056,VILLAGER,VILLAGER,1
057,POSSESSED,VILLAGER,0
058,VILLAGER,WEREWOLF,0
059,VILLAGER,VILLAGER,1
060,WEREWOLF,VILLAGER,0
061,VILLAGER,VILLAGER,1
062,WEREWOLF,VILLAGER,0
063,VILLAGER,WEREWOLF,0
064,WEREWOLF,VILLAGER,0
065,WEREWOLF,VILLAGER,0
066,SEER,WEREWOLF,0
067,VILLAGER,VILLAGER,1
068,WEREWOLF,VILLAGER,0
069,VILLAGER,WEREWOLF,0
070,VILLAGER,VILLAGER,1
071,POSSESSED,VILLAGER,0
072,VILLAGER,VILLAGER,1
073,VILLAGER,VILLAGER,1
074,VILLAGER,WEREWOLF,0
075,SEER,VILLAGER,1
076,VILLAGER,WEREWOLF,0
077,POSSESSED,VILLAGER,0
078,VILLAGER,VILLAGER,1
079,SEER,WEREWOLF,0
080,VILLAGER,VILLAGER,1
081,VILLAGER,VILLAGER,1
082,POSSESSED,VILLAGER,0
083,SEER,WEREWOLF,0
084,SEER,VILLAGER,1
085,SEER,VILLAGER,1
086,SEER,VILLAGER,1
087,VILLAGER,VILLAGER,1
088,WEREWOLF,VILLAGER,0
089,WEREWOLF,WEREWOLF,1
090,VILLAGER,VILLAGER,1
091,WEREWOLF,VILLAGER,0
092,WEREWOLF,VILLAGER,0
093,SEER,VILLAGER,1
094,SEER,VILLAGER,1
095,POSSESSED,VILLAGER,0
096,WEREWOLF,WEREWOLF,1
097,SEER,VILLAGER,1
098,VILLAGER,VILLAGER,1
099,SEER,VILLAGER,1
VILLAGER,SEER,MEDIUM,BODYGUARD,POSSESSED,WEREWOLF
39,25,0,0,22,14
26,18,0,0,7,3
VILLAGER,WEREWOLF
44,10
