Game,MyAgent,Victory,result
000,WEREWOLF,WEREWOLF,1
001,VILLAGER,WEREWOLF,0
002,POSSESSED,WEREWOLF,1
003,VILLAGER,WEREWOLF,0
004,WEREWOLF,WEREWOLF,1
005,VILLAGER,WEREWOLF,0
006,VILLAGER,VILLAGER,1
007,WEREWOLF,WEREWOLF,1
008,VILLAGER,WEREWOLF,0
009,WEREWOLF,VILLAGER,0
010,VILLAGER,VILLAGER,1
011,VILLAGER,VILLAGER,1
012,VILLAGER,VILLAGER,1
013,VILLAGER,VILLAGER,1
014,WEREWOLF,VILLAGER,0
015,BODYGUARD,WEREWOLF,0
016,VILLAGER,WEREWOLF,0
017,BODYGUARD,VILLAGER,1
018,VILLAGER,VILLAGER,1
019,VILLAGER,VILLAGER,1
020,SEER,VILLAGER,1
021,POSSESSED,VILLAGER,0
022,WEREWOLF,WEREWOLF,1
023,WEREWOLF,VILLAGER,0
024,MEDIUM,WEREWOLF,0
025,VILLAGER,VILLAGER,1
026,WEREWOLF,WEREWOLF,1
027,VILLAGER,VILLAGER,1
028,VILLAGER,VILLAGER,1
029,WEREWOLF,VILLAGER,0
030,WEREWOLF,VILLAGER,0
031,BODYGUARD,VILLAGER,1
032,WEREWOLF,WEREWOLF,1
033,VILLAGER,WEREWOLF,0
034,VILLAGER,VILLAGER,1
035,SEER,VILLAGER,1
036,MEDIUM,VILLAGER,1
037,POSSESSED,VILLAGER,0
038,VILLAGER,VILLAGER,1
039,VILLAGER,VILLAGER,1
040,VILLAGER,VILLAGER,1
041,BODYGUARD,WEREWOLF,0
042,VILLAGER,VILLAGER,1
043,SEER,VILLAGER,1
044,WEREWOLF,VILLAGER,0
045,VILLAGER,WEREWOLF,0
046,WEREWOLF,VILLAGER,0
047,VILLAGER,VILLAGER,1
048,VILLAGER,VILLAGER,1
049,VILLAGER,VILLAGER,1
050,WEREWOLF,VILLAGER,0
051,VILLAGER,WEREWOLF,0
052,VILLAGER,WEREWOLF,0
053,VILLAGER,VILLAGER,1
054,VILLAGER,VILLAGER,1
055,SEER,VILLAGER,1
056,VILLAGER,VILLAGER,1
057,SEER,VILLAGER,1
058,POSSESSED,VILLAGER,0
059,BODYGUARD,WEREWOLF,0
060,VILLAGER,WEREWOLF,0
061,BODYGUARD,WEREWOLF,0
062,VILLAGER,VILLAGER,1
063,VILLAGER,VILLAGER,1
064,VILLAGER,VILLAGER,1
065,VILLAGER,WEREWOLF,0
066,VILLAGER,VILLAGER,1
067,WEREWOLF,VILLAGER,0
068,MEDIUM,VILLAGER,1
069,SEER,VILLAGER,1
070,POSSESSED,WEREWOLF,1
071,VILLAGER,VILLAGER,1
072,MEDIUM,WEREWOLF,0
073,VILLAGER,WEREWOLF,0
074,POSSESSED,VILLAGER,0
075,SEER,WEREWOLF,0
076,VILLAGER,VILLAGER,1
077,BODYGUARD,VILLAGER,1
078,VILLAGER,VILLAGER,1
079,WEREWOLF,VILLAGER,0
080,WEREWOLF,WEREWOLF,1
081,SEER,VILLAGER,1
082,WEREWOLF,VILLAGER,0
083,POSSESSED,VILLAGER,0
084,VILLAGER,VILLAGER,1
085,MEDIUM,VILLAGER,1
086,WEREWOLF,WEREWOLF,1
087,MEDIUM,VILLAGER,1
088,VILLAGER,WEREWOLF,0
089,WEREWOLF,WEREWOLF,1
090,WEREWOLF,VILLAGER,0
091,VILLAGER,VILLAGER,1
092,VILLAGER,WEREWOLF,0
093,WEREWOLF,VILLAGER,0
094,POSSESSED,WEREWOLF,1
095,BODYGUARD,WEREWOLF,0
096,MEDIUM,VILLAGER,1
097,VILLAGER,WEREWOLF,0
098,VILLAGER,VILLAGER,1
099,POSSESSED,VILLAGER,0
VILLAGER,SEER,MEDIUM,BODYGUARD,POSSESSED,WEREWOLF
46,8,7,8,22,9
31,7,5,3,9,3
VILLAGER,WEREWOLF
46,12
