Game,MyAgent,Victory,result
000,VILLAGER,WEREWOLF,0
001,VILLAGER,WEREWOLF,0
002,VILLAGER,WEREWOLF,0
003,BODYGUARD,VILLAGER,1
004,VILLAGER,VILLAGER,1
005,VILLAGER,VILLAGER,1
006,WEREWOLF,VILLAGER,0
007,SEER,WEREWOLF,0
008,VILLAGER,VILLAGER,1
009,VILLAGER,WEREWOLF,0
010,VILLAGER,WEREWOLF,0
011,VILLAGER,VILLAGER,1
012,WEREWOLF,WEREWOLF,1
013,SEER,WEREWOLF,0
014,VILLAGER,VILLAGER,1
015,VILLAGER,WEREWOLF,0
016,VILLAGER,WEREWOLF,0
017,VILLAGER,WEREWOLF,0
018,VILLAGER,WEREWOLF,0
019,VILLAGER,WEREWOLF,0
020,POSSESSED,VILLAGER,0
021,VILLAGER,WEREWOLF,0
022,MEDIUM,WEREWOLF,0
023,WEREWOLF,WEREWOLF,1
024,VILLAGER,VILLAGER,1
025,SEER,WEREWOLF,0
026,WEREWOLF,VILLAGER,0
027,VILLAGER,VILLAGER,1
028,VILLAGER,WEREWOLF,0
029,BODYGUARD,VILLAGER,1
030,VILLAGER,WEREWOLF,0
031,VILLAGER,WEREWOLF,0
032,WEREWOLF,WEREWOLF,1
033,VILLAGER,WEREWOLF,0
034,WEREWOLF,WEREWOLF,1
035,WEREWOLF,WEREWOLF,1
036,VILLAGER,VILLAGER,1
037,POSSESSED,VILLAGER,0
038,BODYGUARD,VILLAGER,1
039,BODYGUARD,WEREWOLF,0
040,VILLAGER,WEREWOLF,0
041,VILLAGER,WEREWOLF,0
042,VILLAGER,WEREWOLF,0
043,VILLAGER,VILLAGER,1
044,WEREWOLF,WEREWOLF,1
045,SEER,WEREWOLF,0
046,MEDIUM,WEREWOLF,0
047,VILLAGER,WEREWOLF,0
048,VILLAGER,VILLAGER,1
049,POSSESSED,VILLAGER,0
050,VILLAGER,VILLAGER,1
051,MEDIUM,WEREWOLF,0
052,VILLAGER,WEREWOLF,0
053,VILLAGER,VILLAGER,1
054,POSSESSED,VILLAGER,0
055,VILLAGER,VILLAGER,1
056,VILLAGER,VILLAGER,1
057,VILLAGER,VILLAGER,1
058,VILLAGER,WEREWOLF,0
059,WEREWOLF,WEREWOLF,1
060,SEER,WEREWOLF,0
061,VILLAGER,VILLAGER,1
062,VILLAGER,WEREWOLF,0
063,WEREWOLF,WEREWOLF,1
064,VILLAGER,WEREWOLF,0
065,VILLAGER,VILLAGER,1
066,BODYGUARD,VILLAGER,1
067,VILLAGER,VILLAGER,1
068,VILLAGER,VILLAGER,1
069,VILLAGER,WEREWOLF,0
070,VILLAGER,VILLAGER,1
071,WEREWOLF,VILLAGER,0
072,VILLAGER,WEREWOLF,0
073,VILLAGER,WEREWOLF,0
074,VILLAGER,WEREWOLF,0
075,WEREWOLF,VILLAGER,0
076,VILLAGER,WEREWOLF,0
077,POSSESSED,WEREWOLF,1
078,WEREWOLF,WEREWOLF,1
079,VILLAGER,WEREWOLF,0
080,WEREWOLF,VILLAGER,0
081,VILLAGER,VILLAGER,1
082,WEREWOLF,VILLAGER,0
083,SEER,WEREWOLF,0
084,VILLAGER,VILLAGER,1
085,VILLAGER,WEREWOLF,0
086,VILLAGER,VILLAGER,1
087,MEDIUM,VILLAGER,1
088,VILLAGER,WEREWOLF,0
089,VILLAGER,WEREWOLF,0
090,POSSESSED,VILLAGER,0
091,VILLAGER,VILLAGER,1
092,VILLAGER,VILLAGER,1
093,WEREWOLF,WEREWOLF,1
094,BODYGUARD,WEREWOLF,0
095,VILLAGER,WEREWOLF,0
096,VILLAGER,VILLAGER,1
097,VILLAGER,VILLAGER,1
098,WEREWOLF,VILLAGER,0
099,WEREWOLF,VILLAGER,0
VILLAGER,SEER,MEDIUM,BODYGUARD,POSSESSED,WEREWOLF
60,6,4,6,18,6
27,0,1,4,10,1
VILLAGER,WEREWOLF
32,11
