Game,MyAgent,Victory,result
000,WEREWOLF,WEREWOLF,1
001,VILLAGER,WEREWOLF,0
002,POSSESSED,VILLAGER,0
003,VILLAGER,WEREWOLF,0
004,SEER,WEREWOLF,0
005,VILLAGER,WEREWOLF,0
006,POSSESSED,VILLAGER,0
007,POSSESSED,WEREWOLF,1
008,WEREWOLF,WEREWOLF,1
009,WEREWOLF,WEREWOLF,1
Game,MyAgent,Victory,result
Game,MyAgent,Victory,result
Game,MyAgent,Victory,result
000,WEREWOLF,WEREWOLF,1
001,VILLAGER,WEREWOLF,0
002,POSSESSED,VILLAGER,0
003,VILLAGER,WEREWOLF,0
004,SEER,WEREWOLF,0
005,VILLAGER,WEREWOLF,0
006,POSSESSED,VILLAGER,0
007,POSSESSED,WEREWOLF,1
008,WEREWOLF,WEREWOLF,1
009,WEREWOLF,WEREWOLF,1
010,WEREWOLF,WEREWOLF,1
011,VILLAGER,VILLAGER,1
012,SEER,WEREWOLF,0
013,VILLAGER,VILLAGER,1
014,WEREWOLF,VILLAGER,0
015,POSSESSED,VILLAGER,0
016,WEREWOLF,VILLAGER,0
017,VILLAGER,VILLAGER,1
018,WEREWOLF,WEREWOLF,1
019,VILLAGER,VILLAGER,1
020,VILLAGER,WEREWOLF,0
021,WEREWOLF,VILLAGER,0
022,POSSESSED,VILLAGER,0
023,SEER,VILLAGER,1
024,VILLAGER,WEREWOLF,0
025,SEER,VILLAGER,1
026,WEREWOLF,VILLAGER,0
027,SEER,VILLAGER,1
028,WEREWOLF,VILLAGER,0
029,VILLAGER,VILLAGER,1
030,WEREWOLF,WEREWOLF,1
031,WEREWOLF,WEREWOLF,1
032,WEREWOLF,VILLAGER,0
033,SEER,WEREWOLF,0
034,VILLAGER,VILLAGER,1
035,POSSESSED,VILLAGER,0
036,VILLAGER,WEREWOLF,0
037,WEREWOLF,WEREWOLF,1
038,VILLAGER,VILLAGER,1
039,VILLAGER,WEREWOLF,0
040,POSSESSED,WEREWOLF,1
041,VILLAGER,WEREWOLF,0
042,VILLAGER,VILLAGER,1
043,VILLAGER,WEREWOLF,0
044,WEREWOLF,WEREWOLF,1
045,SEER,VILLAGER,1
046,VILLAGER,WEREWOLF,0
047,VILLAGER,VILLAGER,1
048,POSSESSED,VILLAGER,0
049,POSSESSED,VILLAGER,0
050,POSSESSED,WEREWOLF,1
051,VILLAGER,VILLAGER,1
052,VILLAGER,VILLAGER,1
053,WEREWOLF,WEREWOLF,1
054,WEREWOLF,VILLAGER,0
055,VILLAGER,VILLAGER,1
056,VILLAGER,WEREWOLF,0
057,VILLAGER,VILLAGER,1
058,VILLAGER,VILLAGER,1
059,VILLAGER,WEREWOLF,0
060,SEER,WEREWOLF,0
061,VILLAGER,WEREWOLF,0
062,SEER,WEREWOLF,0
063,VILLAGER,VILLAGER,1
064,VILLAGER,VILLAGER,1
065,WEREWOLF,VILLAGER,0
066,POSSESSED,VILLAGER,0
067,VILLAGER,VILLAGER,1
068,WEREWOLF,WEREWOLF,1
069,VILLAGER,VILLAGER,1
070,VILLAGER,WEREWOLF,0
071,WEREWOLF,VILLAGER,0
072,WEREWOLF,VILLAGER,0
073,VILLAGER,WEREWOLF,0
074,VILLAGER,VILLAGER,1
075,VILLAGER,VILLAGER,1
076,SEER,VILLAGER,1
077,SEER,VILLAGER,1
078,WEREWOLF,WEREWOLF,1
079,VILLAGER,VILLAGER,1
080,WEREWOLF,VILLAGER,0
081,POSSESSED,VILLAGER,0
082,POSSESSED,VILLAGER,0
083,SEER,VILLAGER,1
084,SEER,WEREWOLF,0
085,SEER,VILLAGER,1
086,VILLAGER,WEREWOLF,0
087,POSSESSED,WEREWOLF,1
088,SEER,VILLAGER,1
089,VILLAGER,WEREWOLF,0
090,VILLAGER,VILLAGER,1
091,SEER,VILLAGER,1
092,SEER,WEREWOLF,0
093,SEER,VILLAGER,1
094,POSSESSED,VILLAGER,0
095,SEER,WEREWOLF,0
096,VILLAGER,VILLAGER,1
097,SEER,WEREWOLF,0
098,WEREWOLF,VILLAGER,0
099,SEER,VILLAGER,1
